Index,English
1,"Almost all living organisms, from humans to bacteria, possess a circadian clock. This internal timekeeping system enables organisms to anticipate and adapt to the rhythmic environmental changes that occur over a 24-hour cycle. At their molecular core, these clocks are comprised of cell-autonomous transcription-translation negative feedback loops."
2,"In most animals, the master circadian clock in the brain receives light cues via the eyes, which enable synchronization with the external 24-hour light-dark cycles. The master clock sits at the top of the hierarchy and, in turn, modulates the activity of downstream neurons, as well as the peripheral clocks located in tissues throughout the body via endocrine and systemic signaling. In vertebrates, the master clock is located in the suprachiasmatic nucleus of the hypothalamus and is comprised of approximately 20,000 neurons."
3,"Extensive intercellular coupling between these neurons, likely via neurotransmitters, neuropeptides, and gap junctions, forms a neuronal network that is resilient to internal and environmental perturbations. Systematic characterization of these diverse coupling mechanisms between clock neurons is thus crucial to understanding circadian clock entrainment and the mutual coupling of the clock neurons. In addition, unraveling the clock output pathways that generate rhythmic behaviors and hormonal signaling can provide mechanistic insights into circadian regulation of organismal physiology and homeostasis."
4,"These aims are particularly challenging to accomplish in vertebrates due to the large neuronal network size and resultant increase in complexity. However, the molecular clock architecture, as well as the neuronal network motifs, are highly conserved from humans to insects. Hence, Drosophila melanogaster, with its powerful genetic toolkit and a complete brain connectome, represents an ideal system for deciphering the clock network and its input and output pathways."
5,"Not surprisingly, the fly circadian clock, generally regarded as being comprised of approximately 150 neurons, is extremely well characterized. These neurons have historically been classified into different groups of lateral and dorsal neurons based on their size, anatomy, location in the brain, and differences in gene expression. Further, these neuronal subgroups are active at different times during the day and are consequently distinct functionally."
6,"Almost all living organisms, from humans to bacteria, possess a circadian clock. This internal timekeeping system enables organisms to anticipate and adapt to the rhythmic environmental changes that occur over a 24-hour cycle. At their molecular core, these clocks are comprised of cell-autonomous transcription-translation negative feedback loops."
7,"In most animals, the master circadian clock in the brain receives light cues via the eyes, which enable synchronization with the external 24-hour light-dark cycles. The master clock sits at the top of the hierarchy and, in turn, modulates the activity of downstream neurons, as well as the peripheral clocks located in tissues throughout the body via endocrine and systemic signaling. In vertebrates, the master clock is located in the suprachiasmatic nucleus of the hypothalamus and is comprised of approximately 20,000 neurons."
8,"Extensive intercellular coupling between these neurons, likely via neurotransmitters, neuropeptides, and gap junctions, forms a neuronal network that is resilient to internal and environmental perturbations. Systematic characterization of these diverse coupling mechanisms between clock neurons is thus crucial to understanding circadian clock entrainment and the mutual coupling of the clock neurons. In addition, unraveling the clock output pathways that generate rhythmic behaviors and hormonal signaling can provide mechanistic insights into circadian regulation of organismal physiology and homeostasis."
9,"These aims are particularly challenging to accomplish in vertebrates due to the large neuronal network size and resultant increase in complexity. However, the molecular clock architecture, as well as the neuronal network motifs, are highly conserved from humans to insects. Hence, Drosophila melanogaster, with its powerful genetic toolkit and a complete brain connectome, represents an ideal system for deciphering the clock network and its input and output pathways."
10,"Not surprisingly, the fly circadian clock, generally regarded as being comprised of approximately 150 neurons, is extremely well characterized. These neurons have historically been classified into different groups of Lateral and Dorsal Neurons based on their size, anatomy, location in the brain, and differences in gene expression. Further, these neuronal subgroups are active at different times during the day and are consequently distinct functionally."
11,"Almost all living organisms, from humans to bacteria, possess a circadian clock. This internal timekeeping system enables organisms to anticipate and adapt to the rhythmic environmental changes that occur over a 24-hour cycle. At their molecular core, these clocks are comprised of cell-autonomous transcription-translation negative feedback loops."
12,"In most animals, the master circadian clock in the brain receives light cues via the eyes, which enable synchronization with the external 24-hour light-dark cycles. The master clock sits at the top of the hierarchy and, in turn, modulates the activity of downstream neurons, as well as the peripheral clocks located in tissues throughout the body via endocrine and systemic signaling. In vertebrates, the master clock is located in the suprachiasmatic nucleus of the hypothalamus and is comprised of approximately 20,000 neurons."
